,Data,Horario,Estacao,Latitude,Longitude,Banda 1,Banda 2,Banda 3,Banda 4,Banda 5,Banda 6,Banda 7,Banda 8,Banda 9,Banda 10,Banda 11,Banda 12,Banda 13,Banda 14,Banda 15,Banda 16
72,1/10/2018,1800,82824,-8.77,-63.92,12.82,17.77,25.04,1.96,32.34,26.25,328.28,251.02,261.66,279.72,319.65,290.97,322.15,322.72,320.91,300.3
73,1/10/2018,1800,82893,-8.88,-36.52,17.23,14.09,17.11,0.19,17.68,14.19,299.97,236.57,247.35,255.17,286.32,250.36,288.66,288.96,287.67,267.58
74,1/10/2018,1800,82863,-8.97,-48.18,11.42,9.14,12.88,0.19,16.06,13.17,306.25,239.28,247.69,257.96,295.55,267,298.49,298.96,296.78,277.33
75,1/10/2018,1800,82970,-9.1,-45.93,16.73,19.99,23.55,0.44,25.23,19.58,316.99,248.11,258.11,267.64,306.3,270.22,309.49,310.15,308.1,283.88
76,1/10/2018,1800,82976,-9.28,-43.33,15.2,17.77,24.44,0.5,24.5,20.57,311.2,236.15,245.15,257.66,296.75,259.49,300.77,301.77,300.06,277.44
77,1/10/2018,1800,82989,-9.28,-37.9,18.88,19.74,22.95,1.61,22.63,19.11,298.67,230.4,238.84,248.73,282.61,250.5,285.84,284.66,282.37,262.95
78,1/10/2018,1800,82984,-9.35,-40.55,30.92,23.01,31.87,3.84,28.98,18.6,286.9,226.94,234.48,242.25,263.36,241.76,265.49,260.83,258.07,247.42
79,1/10/2018,1800,82983,-9.38,-40.48,26.12,23.96,26.15,4.12,24.5,18.34,292.82,226.6,234.1,242.25,271.19,244.45,271.95,268.08,263.97,251.88
80,1/10/2018,1800,82992,-9.45,-36.7,53.74,56.03,56.41,2.85,32.95,22.92,285.65,234.97,243.2,248.29,257.57,236.65,259.72,259.82,259.38,250.56
81,1/10/2018,1800,82993,-9.52,-35.78,21.93,19.36,23.42,2.22,21.52,16.15,292.59,238.35,247.35,252.23,275.41,244.83,277.42,276.64,275.28,259.76
82,1/10/2018,1800,82979,-9.63,-42.1,41.2,38.41,40.92,23.74,28.73,31.68,269.37,224.36,226.9,228.03,232.43,227.86,233.78,231.51,230.37,228.2
83,1/10/2018,1800,82990,-9.75,-37.43,16.73,14.69,17.61,0.31,19.04,15.65,296.67,235.18,243.92,250.88,281.31,248.47,283.44,283.34,281.48,264
84,1/10/2018,1800,82965,-9.87,-56.1,15.33,17.93,21.84,1.84,24.88,20.09,326.33,249.37,263.23,281.41,318.03,285.34,320.56,322.06,320.85,296.44
85,1/10/2018,1800,82915,-9.97,-67.8,19.9,12.92,32.38,1.68,17.9,22.92,303.28,246.46,255.86,263.2,283.45,266.43,285.22,283.1,279.57,268.24
86,1/10/2018,1800,82917,-10,-67.8,35.23,55.77,48.12,1.68,29.71,23.77,303.99,246.5,255.95,263.3,284.6,267.8,286.39,284.24,280.88,268.85
87,1/10/2018,1800,83033,-10.18,-48.3,63.26,63.93,57.42,1.61,9.58,11.33,279.96,235.18,244.09,253.92,271.24,250.74,272.5,272.15,270.7,261.08
88,1/10/2018,1800,83097,-10.2,-36.87,56.41,53.39,57.9,4.57,30.73,21.33,280.4,235.47,243.75,247.84,255.8,236.51,257.75,257.9,257.47,249.24
89,1/10/2018,1800,83214,-10.25,-54.92,13.3,18.28,25.42,0.5,33.2,24.28,322.4,245.99,258.19,272.48,309.58,279.95,315.09,317.09,315.31,290.44
90,1/10/2018,1800,83065,-10.28,-48.35,36.25,32.85,35.33,1.77,11.93,12.69,289.9,235.81,245.32,256.82,277.45,254.43,279.01,278.91,278.26,266.42
91,1/10/2018,1800,83090,-10.43,-39.3,32.31,30.28,31.23,4.63,27.61,17.26,289.28,228.63,236.05,243.8,264.3,241.76,266.29,264.43,262.12,251.72
92,1/10/2018,1800,83064,-10.72,-48.58,12.31,11.07,17.61,0.12,22.63,17.49,313.82,236.74,246,257.61,303.43,272.44,306.98,307.04,303.81,281.51
93,1/10/2018,1800,83076,-11.02,-44.52,79.36,76.82,68.44,3.96,6.6,9.61,275.29,242.87,252.26,258.81,271.5,247.29,272.68,272.45,271.53,260.97
94,1/10/2018,1800,83192,-11.08,-38.52,16.22,12.22,20.34,0.63,21.39,15.04,288.4,231.76,241.51,251.73,278.54,248.61,280.37,279.27,277.9,262.29
95,1/10/2018,1800,83195,-11.12,-37.82,17.61,12.53,18.6,0.25,18.28,14.53,285.86,237.88,247.1,253.62,274.84,245.73,276.8,276.81,275.28,260.8
96,1/10/2018,1800,83186,-11.18,-40.47,17.11,10.6,20.69,0.25,14.31,9.01,286.9,231.97,241.34,250.58,276.46,247.48,277.97,277.71,276.3,262.13
97,1/10/2018,1800,83184,-11.22,-41.22,37.52,29.55,38.44,0.57,24.76,22.44,293.51,231.54,240.54,248.93,266.6,243.37,268.87,268.62,267.06,256.45
98,1/10/2018,1800,83190,-11.63,-38.97,48.06,43.04,45.74,13.01,19.26,22.44,259.72,225.12,228.05,230.08,234.36,227.96,234.4,232.35,231.33,228.75
99,1/10/2018,1800,83228,-12.05,-48.35,10.66,3.46,1.49,0,0.5,0.38,285,240.16,252.05,263.25,283.03,258.49,284.85,285.13,283.62,269.84
100,1/10/2018,1800,83221,-12.18,-38.97,66.15,61.2,62.63,23.74,21.77,26.6,253.58,222.38,223.52,223.99,225.28,224.41,225.67,224.86,224.24,223.73
101,1/10/2018,1800,83249,-12.28,-38.55,73.14,68.73,69.68,18.63,19.77,24.5,254.97,228.21,231.05,231.77,234.05,227.77,234.34,233.72,233.29,231.17
102,1/10/2018,1800,83235,-12.4,-46.43,10.66,3.42,1.36,0.12,0.5,0.25,283.35,246.58,258.62,265.75,281.83,255.61,283.38,283.76,282.37,268.07
103,1/10/2018,1800,83244,-12.55,-40.43,60.34,56.15,60.38,11.11,16.41,22.06,252.4,226.3,230.25,232.52,236.34,228.33,236.8,235.88,235.02,232.44
104,1/10/2018,1800,83242,-12.57,-41.38,31.17,27.58,34.09,2.34,16.28,12.31,271.97,228.63,235.84,242.5,259.61,240.01,260.7,259.28,257.89,248.8
105,1/10/2018,1800,83222,-12.67,-39.08,64.92,60.09,62.76,21.84,20.53,25.39,255.75,220.77,221.99,222.79,224.14,224.22,224.44,223.19,222.33,221.92
106,1/10/2018,1800,83208,-12.7,-60.1,37.01,30.88,34.98,0.98,33.33,31.68,303.12,254.91,266.45,273.68,280.06,262.13,281.04,281.3,281,272.81
107,1/10/2018,1800,83248,-12.9,-38.33,66.41,61.93,62.38,18.57,22.5,27.11,263.06,226.14,228.77,229.43,231.65,226.54,232.68,231.51,230.73,228.75
108,1/10/2018,1800,83288,-13.27,-43.42,10.66,5.36,26.41,0.19,10.57,5.04,284.85,239.66,248.41,255.77,280,250.83,282.27,282.44,280.82,265.71
